Timestamp,Time Shift (s),Point 0 x [m],Point 0 y [m],Point 1 x [m],Point 1 y [m],Point 2 x [m],Point 2 y [m],Point 3 y [m],Walking Speed [m/s],Step width [m],Step frequency [Hz],Weight [N],Reverse Direction,Cost Function Value,Normalized Cost Func
2019-04-26T212000-575Z,8.9,0.424063,1.811538,2.517853,1.607023,14.372631,0.924133,1.8,1.424275,-0.104075,1.77448,3963.606448,0,0.000208317,5.26E-08
2019-04-24T211604-307Z,7.04,0.427119,1.562708,1.529401,1.011567,15.165733,0.875832,1.692965,1.216389,-0.009588,1.766711,2795.066798,1,0.00014736,5.27E-08
2019-04-24T215934-508Z,6.31,0.428374,1.663898,4.137625,1.328532,15.798484,1.348003,1.798712,1.274857,0.109104,1.681452,2307.893726,1,0.000102998,4.46E-08
2019-04-24T215828-458Z,4.41,0.430556,1.832431,4.532688,1.48616,15.549489,1.496958,1.8,1.347313,0.045512,1.728511,2308.339143,0,0.000111284,4.82E-08
2019-04-24T220125-124Z,5.37,0.433473,1.707086,2.066581,1.540639,13.277761,1.089541,1.799987,1.341245,0.220796,1.772753,4017.903243,0,0.000187418,4.66E-08
2019-04-25T231357-826Z,3.76,0.435753,1.794741,2.976179,1.557957,13.976722,1.867903,1.8,1.378614,0.057677,1.823847,4018.165528,0,0.000232944,5.80E-08
2019-04-27T005552-469Z,9.03,0.44306,1.55,3.004475,0.419915,11.387166,1.696068,1.8,1.236331,-0.381066,1.744141,4086.915361,1,0.000241266,5.90E-08
2019-04-26T191914-350Z,8.73,0.463411,1.795268,2.967238,1.732158,13.996188,1.477537,1.8,1.350291,-0.0017,1.887267,2744.486968,0,0.000199698,7.28E-08
2019-04-26T211600-955Z,2.34,0.468475,1.561023,1.878519,1.029442,15.152875,1.642194,1.8,1.364421,-0.191377,1.793701,2958.182325,1,0.000141802,4.79E-08
2019-04-26T182520-079Z-sp,6.05,0.472086,1.700432,7.38826,0.863283,14.869611,0.902381,1.714823,1.603138,-0.078917,2.060457,2197.212556,0,0.000186385,8.48E-08
2019-04-26T180544-783Z,0.67,0.472935,1.62774,6.942665,1.116366,15.609979,1.343577,1.735748,1.477851,0.204412,1.976376,4764.444383,0,0.000215977,4.53E-08
2019-04-26T210135-268Z,1.86,0.473505,1.776714,3.029674,1.814931,15.091434,0.905022,1.759305,1.287747,-0.138784,1.890739,3389.613522,0,0.000178535,5.27E-08
2019-04-25T222116-750Z,5,0.476161,1.789841,2.80015,1.180819,13.980397,1.31052,1.8,1.397754,0.033726,1.981839,2181.138244,0,9.04E-05,4.15E-08
2019-04-26T181919-234Z,5.84,0.479691,1.79814,2.44036,1.485899,15.706513,1.253244,1.799987,1.658922,-0.223207,2.165186,2219.315234,0,9.91E-05,4.47E-08
2019-04-26T232322-748Z,1.81,0.484597,1.594499,4.453793,1.454503,15.8,1.362398,1.8,1.329577,0.057972,1.757947,2665.007142,0,0.000137248,5.15E-08
2019-04-26T223814-232Z-sp,1.13,0.48653,1.623091,1.777489,0.977611,14.921926,1.231376,1.767107,1.20938,0.189731,1.797323,3092.557729,0,0.000177205,5.73E-08
